s1
m4
1,-,-,-,-
-,1,-,-,-
-,-,-,1,-
-,-,-,1,-
-,-,-,0,-
-,-,-,-,-
m5
-,-,-,-,1
-,-,-,1,-
-,-,1,-,-
-,-,-,-,1
-,-,-,-,0
-,-,-,-,0
-,-,-,-,0
-,-,-,-,0
-,-,-,-,0
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,1,-
-,-,-,-,1
-,-,-,-,1
-,-,-,-,1
-,-,-,1,-
-,-,1,-,-
-,-,1,-,-
-,-,0,-,-
-,-,0,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,1,-,-
-,-,-,1,-
-,-,-,-,1
-,-,-,1,-
-,-,-,0,-
-,-,-,0,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
1,-,-,-,-
-,-,-,-,1
-,-,-,1,-
-,-,1,-,-
-,-,-,-,1
-,-,-,-,0
-,-,-,-,-
m7
-,-,-,-,1
-,-,-,-,0
-,-,1,-,0
-,1,-,-,-
1,-,-,-,-
0,-,-,-,-
1,-,-,-,-
0,-,-,-,-
0,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
1,-,-,-,-
-,1,-,-,-
-,-,1,-,-
-,-,-,1,-
-,-,-,0,-
-,-,-,1,-
-,-,1,-,-
-,-,0,-,-
-,1,-,-,-
-,1,-,-,-
1,-,-,-,-
0,-,-,-,-
1,-,-,-,-
-,1,-,-,-
-,-,1,-,-
-,1,-,-,-
-,0,-,-,-
-,0,-,-,-
-,-,1,-,-
-,-,0,-,-
-.-.-.-.-
m8
-,-,-,1,-
-,-,-,1,-
-,-,-,1,-
-,-,-,-,1
-,1,-,-,-
1,-,-,-,-
-,1,-,-,-
-,0,-,-,-
-,0,-,-,-
-,1,-,-,-
-,0,-,-,-
-,0,-,-,-
-,1,-,-,-
-,0,-,-,-
-,-,-,-,-
m7
-,-,1,-,-
-,1,-,-,-
1,-,-,-,-
-,-,1,-,-
-,-,0,-,-
-,-,0,-,-
-,-,1,-,-
-,-,0,-,-
-,-,0,-,-
-,-,1,-,-
-,-,0,-,-
-,-,0,-,-
-,-,1,-,-
-,1,-,-,-
1,-,-,-,-
-,-,-,1,-
-,-,-,0,-
-,-,-,0,-
-,-,1,-,-
-,1,-,-,-
1,-,-,-,-
0,-,-,-,-
0,-,-,-,-
-,1,-,-,-
-,0,-,-,-
-,0,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
-,-,-,-,1
-,-,-,-,0
-,-,-,-,0
-,-,1,-,-
-,1,-,-,-
1,-,-,-,-
1,-,-,-,-
0,-,-,-,-
0,-,-,-,-
-,-,-,-,-
m10
-,-,1,-,1
-,-,0,-,0
-,1,-,1,-
1,-,1,-,-
0,-,0,-,-
-,1,-,1,-
-,-,-,-,-
m9
1,-,1,-,-
0,-,0,-,-
0,-,0,-,-
-,-,-,-,-
m7
1,-,-,-,-
-,-,1,-,1
-,-,0,-,0
-,1,-,1,-
1,-,1,-,-
-,-,-,-,-
m5
-,1,-,1,-
1,-,1,-,-
0,-,0,-,-
-,-,-,-,-
m10
-,-,1,-,1
-,-,0,-,0
-,1,-,1,-
1,-,1,-,-
0,-,0,-,-
-,1,-,1,-
-,-,-,-,-
m9
1,-,1,-,-
0,-,0,-,-
0,-,0,-,-
-,-,-,-,-
-,-,-,-,-
1,-,1,-,-
1,-,1,-,-
1,-,1,-,-
1,-,1,-,-
0,-,0,-,-
-,1,-,1,-
-,-,-,-,-
m5
-,-,1,-,1
-,1,-,1,-
1,-,1,-,-
0,-,0,-,-
-,-,-,-,-
m8
-,1,-,-,-
-,-,-,1,-
-,-,-,-,1
-,-,-,-,0
-,-,-,-,1
-,-,-,-,1
-,-,-,-,0
-,-,-,1,-
-,1,-,-,-
-,0,-,-,-
-,-,-,-,-
m7
1,-,-,-,-
-,1,-,-,-
-,-,1,-,-
-,-,-,-,1
-,-,-,-,0
-,-,-,1,-
-,-,1,-,-
-,-,0,-,-
-,-,-,1,-
-,-,1,-,-
-,-,0,-,-
-,-,0,-,-
-,1,-,-,-
-,0,-,-,-
-,0,-,-,-
-,-,-,1,-
-,-,-,0,-
-,-,-,0,-
-,-,1,-,-
1,-,-,-,-
-,1,-,-,-
-,-,1,-,-
-,-,0,-,-
-,-,0,-,-
-,1,-,-,-
-,0,-,-,-
-,0,-,-,-
-,1,-,-,-
-,0,-,-,-
-,0,-,-,-
1,-,-,-,-
-,-,-,-,-
m6
1,-,-,-,-
-,1,-,-,-
-,-,-,-,-
m1
